#TYPE VMware.VimAutomation.ViCore.Impl.V1.VM.UniversalVirtualMachineImpl
"Name","PowerState","Notes","Guest","NumCpu","CoresPerSocket","MemoryMB","MemoryGB","VMHostId","VMHost","VApp","FolderId","Folder","ResourcePoolId","ResourcePool","HARestartPriority","HAIsolationResponse","DrsAutomationLevel","VMSwapfilePolicy","VMResourceConfiguration","Version","PersistentId","GuestId","UsedSpaceGB","ProvisionedSpaceGB","DatastoreIdList","ExtensionData","CustomFields","Id","Uid","Client"
"EDMS-ARHIVA1","PoweredOn","","EDMS-ARHIVA1:CentOS 4/5/6 (32-bit)","2","1","4096","4","HostSystem-host-205369","bib-vwpbp-a04.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","501d8407-4990-9516-4ad4-35ac40ec1662","rhel6Guest","2534.2272910606116056442260742","2534.2272943770512938499450683","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-2386","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-2386/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"FoglightPI","PoweredOn","","FoglightPI:Microsoft Windows Server 2012 (64-bit)","2","1","8192","8","HostSystem-host-205369","bib-vwpbp-a04.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/40960","v10","500b96a0-cfd5-2f39-4980-823ac979c887","windows8Server64Guest","88.12379438430070877075195312","88.12379492912441492080688476","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-185092","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-185092/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"WB6","PoweredOn",,"WB6:Microsoft Windows Server 2012 (64-bit)","8","2","32768","32","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","500b870f-72d7-8a7c-bbaa-d76d6682f00f","windows8Server64Guest","3634.568681570701301097869873","3640.116535994224250316619873","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-110036","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-110036/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"BST00009","PoweredOn","Provisioned by VMware vCAC","BST00009:Red Hat Enterprise Linux 6 (64-bit)","1","1","2048","2","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v6509","VRM","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/20480","v8","500b0411-3f8e-69b5-8175-ec61061c1fa4","rhel6_64Guest","12.124249598011374473571777344","12.124250083230435848236083985","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-16402","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-16402/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"DMZ-DEVELOPER","PoweredOn","","DMZ-DEVELOPER:Microsoft Windows Server 2003 Standard (32-bit)","1","1","1024","1","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Custom/2512 MemShares:Custom/1024","v10","501d33ec-fa57-ef77-c033-3909854b2d4e","winNetStandardGuest","13.826270660385489463806152344","13.826271214522421360015869141","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-6090","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-6090/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"OCR7-PS-10","PoweredOn","","OCR7-PS-10:Microsoft Windows 7 (64-bit)","4","2","2048","2","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/20480","v10","501da69d-406a-0d9d-d44b-143945584dad","windows7_64Guest","42.149541391991078853607177734","42.149541934952139854431152343","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-3796","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-3796/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"DC-Parma-02","PoweredOn","","DC-Parma-02:Microsoft Windows Server 2012 (64-bit)","2","1","4096","4","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/40960","v10","500b1a78-447a-6d68-b6d2-8e5c30c22acd","windows8Server64Guest","44.142169074155390262603759766","44.142169618979096412658691407","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-56450","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-56450/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"OBR7-MAS-11","PoweredOn","","OBR7-MAS-11:Microsoft Windows 7 (32-bit)","2","2","2048","2","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/20480","v10","500b3a57-16bd-41b0-0dd0-3530130f3a5d","windows7Guest","42.153715570457279682159423828","42.153716207481920719146728516","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-71193","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-71193/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"ADAPTER1","PoweredOn","","ADAPTER1:Microsoft Windows Server 2003 Standard (32-bit)","1","1","1000","0.9765625","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10000","v10","501d8051-31e8-2c92-8e28-5afd44f6ebb5","winNetStandardGuest","21.879883355461061000823974609","21.879884008318185806274414062","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-11193","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-11193/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"OCR7-PS-16","PoweredOn","","OCR7-PS-16:Microsoft Windows 7 (64-bit)","4","2","2048","2","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/20480","v10","501d30b3-bb40-bcef-2fa8-633dd470a6c8","windows7_64Guest","42.151142856106162071228027344","42.151143399067223072052001953","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-43105","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-43105/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"Obr7-Mas-09","PoweredOn","","Obr7-Mas-09:Microsoft Windows 7 (32-bit)","2","2","4096","4","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/20480","v10","500be4dd-ad44-d0d3-a61a-42ccb9834e5b","windows7Guest","44.149568892084062099456787109","44.149569529108703136444091796","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-65645","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-65645/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"weblade2","PoweredOff","VM Imported from WEBLADE2","weblade2:Microsoft Windows Server 2003 Web Edition (32-bit)","2","1","1024","1","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Custom/5027 MemShares:Custom/1024","v10","501d0400-171b-0814-370a-53ed15571035","winNetWebGuest","37.285494234412908554077148438","39.127421446144580841064453126","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-43096","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-43096/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"ns1","PoweredOn","","ns1:CentOS 4/5/6 (32-bit)","1","1","1024","1","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10240","v10","501d00b4-e71e-ae06-408c-6c5eaa53d663","centos64Guest","9.135526752099394798278808594","9.135527282021939754486083985","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-6099","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-6099/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"OBR7-MAS-14","PoweredOn","","OBR7-MAS-14:Microsoft Windows 7 (32-bit)","2","2","2048","2","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/20480","v10","500bec1b-03c1-26ba-ab8e-5d5fd5c7781e","windows7Guest","42.153553746640682220458984375","42.153554383665323257446289062","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-71191","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-71191/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"B2B-FE-01","PoweredOn","VM Imported from B2B-FE-01","B2B-FE-01:Microsoft Windows Server 2003 Standard (32-bit)","1","1","512","0.5","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/5120","v10","501d7fb2-9379-7ea2-4726-8b716afb5436","winNetStandardGuest","16.328464364632964134216308594","16.328464927151799201965332032","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-6105","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-6105/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"DNS-DMZ4","PoweredOn","","DNS-DMZ4:CentOS 4/5/6/7 (64-bit)","1","1","1024","1","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10240","v10","501d05df-7178-8585-2234-dbf057525b99","otherLinux64Guest","9.132449585944414138793945312","9.132450125180184841156005859","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-43063","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-43063/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"ADAPTER2","PoweredOn","","ADAPTER2:Microsoft Windows Server 2003 Standard (32-bit)","1","1","1000","0.9765625","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10000","v10","501d97ea-89c5-95f1-5818-3df319cd40e1","winNetStandardGuest","22.011892491951584815979003906","22.011893144808709621429443359","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-11192","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-11192/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"OCR7-PS-05","PoweredOn","","OCR7-PS-05:Microsoft Windows 7 (64-bit)","4","2","2048","2","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/20480","v10","501d11b1-4168-97a8-14c0-27099bc06a34","windows7_64Guest","42.135999208316206932067871094","42.135999751277267932891845703","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-3522","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-3522/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"appWinSvc1","PoweredOn","","appWinSvc1:Microsoft Windows Server 2012 (64-bit)","4","2","8192","8","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","500b5180-33c7-2222-c066-c2cdc7502d09","windows8Server64Guest","36.9649587571620941162109375","48.140740574337542057037353516","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-93407","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-93407/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"Se-Pa-Conn","PoweredOn","","Se-Pa-Conn:Microsoft Windows Server 2008 R2 (64-bit)","4","1","4096","4","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/40960","v10","501d06f4-fed4-7229-6662-e4c9b8004048","windows7Server64Guest","54.13897149264812469482421875","54.138972036540508270263671875","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-3804","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-3804/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"smtpq","PoweredOn","","smtpq:CentOS 4/5/6/7 (64-bit)","2","1","2048","2","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/20480","v10","500bf14d-9b67-1e10-a26e-3757daf31fff","centos64Guest","10.131411682814359664916992188","12.131412216462194919586181641","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-43068","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-43068/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"OBR-MAS-22","PoweredOn","","OBR-MAS-22:Microsoft Windows 2000 Server","1","1","1024","1","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10240","v10","501d70a1-47b1-0880-5a47-ecd7f11e4293","win2000ServGuest","9.823588251136243343353271484","9.823588815517723560333251953","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-3815","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-3815/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"card-mas-03","PoweredOn","","card-mas-03:Microsoft Windows 2000 Server","1","1","1024","1","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10240","v10","501d53a9-acd6-624b-bb84-ed5cd3388f03","win2000ServGuest","9.821650967933237552642822266","9.821651534177362918853759766","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-3775","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-3775/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"EXnlb2","PoweredOn","VM Imported from EXnlb2","EXnlb2:Microsoft Windows Server 2003 Standard (32-bit)","1","1","1024","1","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10240","v10","501d7ee3-5adf-e6eb-9ef8-e096e741b69a","winNetStandardGuest","16.822331946343183517456054688","16.822332503274083137512207032","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-6107","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-6107/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"BIBCOISS-APP2","PoweredOn","","BIBCOISS-APP2:Microsoft Windows Server 2012 (64-bit)","2","1","10240","10","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","v10","500bb63c-4f03-4d8a-ebb2-23ae0e8ca2ea","windows8Server64Guest","50.133068144321441650390625","50.133068692870438098907470703","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-75574","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-75574/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"OBR7-MAS-26","PoweredOn","","OBR7-MAS-26:Microsoft Windows 7 (32-bit)","2","2","2048","2","HostSystem-host-21921","bib-vwpap-a14.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/20480","v10","500b0f58-3a59-8594-7307-15edfee66074","windows7Guest","42.147321145981550216674804688","42.147321796044707298278808594","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-105303","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-105303/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"AppProxy","PoweredOn","","AppProxy:Microsoft Windows Server 2012 (64-bit)","2","2","4096","4","HostSystem-host-221702","bib-vwpbp-c03.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","500bffd4-eba5-bc44-7873-d3c275134d68","windows8Server64Guest","24.267216606996953487396240234","44.139287482947111129760742187","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-96782","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-96782/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"Obr7-Mas-33","PoweredOn","","Obr7-Mas-33:Microsoft Windows 7 (32-bit)","2","2","4096","4","HostSystem-host-221702","bib-vwpbp-c03.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/20480","v10","500b6083-4d87-a23b-feaa-494a72790fb7","windows7Guest","44.150401980616152286529541016","44.150402617640793323516845704","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-67900","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-67900/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"CSAPP2","PoweredOn","","CSAPP2:Microsoft Windows Server 2008 R2 (64-bit)","4","1","16384","16","HostSystem-host-221702","bib-vwpbp-c03.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/163840","v10","501dd4e5-770a-ac35-91a3-c91bf2a86f59","windows7Server64Guest","48.159928658045828342437744141","48.159929193556308746337890625","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-3454","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-3454/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"ADAPTER4","PoweredOn","","ADAPTER4:Microsoft Windows Server 2003 Standard (32-bit)","1","1","1016","0.9921875","HostSystem-host-221702","bib-vwpbp-c03.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10160","v10","501d6d5b-289f-1972-e3ab-8b1841c98026","winNetStandardGuest","22.598987525328993797302246094","22.598988085985183715820312500","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-43065","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-43065/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"PrgWs7-86","PoweredOn","","PrgWs7-86:Microsoft Windows 7 (32-bit)","4","2","4096","4","HostSystem-host-221702","bib-vwpbp-c03.fbisp.eu",,"Folder-group-v23","Discovered virtual machine","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/20480","v10","500bb675-d590-87de-5497-0c3693c2a2d7","windows7Guest","84.1456437408924102783203125","84.14564437605440616607666016","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-110329","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-110329/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"DG-test-01","PoweredOn","VM Imported from DG-test-01","DG-test-01:Microsoft Windows Server 2003 Standard (32-bit)","1","1","1024","1","HostSystem-host-221702","bib-vwpbp-c03.fbisp.eu",,"Folder-group-v5","vm","ResourcePool-resgroup-14","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10240","v10","501dd24b-dee8-fb71-08e5-ad366bdc2731","winNetStandardGuest","16.840746530331671237945556641","16.840747094713151454925537110","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-6086","/VIServer=spimi\u390207@be-vce-bib.fbisp.eu:443/VirtualMachine=VirtualMachine-vm-6086/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
